Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,Roto-Rooter Plumbing  Drain Service,,,United States,New York,Buffalo,14224,(716) 683-4185,,,,,,Roto-Rooter Plumbing  Drain Service,,,,,United States,USA,,,New York,NY,Buffalo,,,,14224,,,(716) 683-4185,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Service Experts Heating  Air Conditioning,6020 N Bailey Ave,,United States,New York,Buffalo,14226,(716) 247-4151,,,,,,Service Experts Heating  Air Conditioning,,,6020 N Bailey Ave,,United States,USA,,,New York,NY,Buffalo,,,,14226,,,(716) 247-4151,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Patton Plumbing Sewer  Drain Cleaning,648 Mckinley Pkwy,,United States,New York,Buffalo,14220,(716) 825-4900,,,,,,Patton Plumbing Sewer  Drain Cleaning,,,648 Mckinley Pkwy,,United States,USA,,,New York,NY,Buffalo,,,,14220,,,(716) 825-4900,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Roto-Rooter Plumbing  Drain Services,135 South Ave,,United States,New York,Buffalo,14224,(716) 773-3717,,,,,,Roto-Rooter Plumbing  Drain Services,,,135 South Ave,,United States,USA,,,New York,NY,Buffalo,,,,14224,,,(716) 773-3717,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Mr. Rooter,,,United States,New York,,,(877) 475-3121,,,,,,Mr. Rooter,,,,,United States,USA,,,New York,,,,,,,,,(877) 475-3121,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Roto-Rooter Plumbing  Drain Services,,,United States,New York,,,(877) 729-7686,,,,,,Roto-Rooter Plumbing  Drain Services,,,,,United States,USA,,,New York,,,,,,,,,(877) 729-7686,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Mr. Rooter,,,United States,New York,,,(877) 766-8396,,,,,,Mr. Rooter,,,,,United States,USA,,,New York,,,,,,,,,(877) 766-8396,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Affordable Home Services,,,United States,New York,,,(877) 556-6238,,,,,,Affordable Home Services,,,,,United States,USA,,,New York,,,,,,,,,(877) 556-6238,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Cellino Plumbing Inc,,,United States,New York,,,(716) 675-1111,,,,,,Cellino Plumbing Inc,,,,,United States,USA,,,New York,,,,,,,,,(716) 675-1111,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
,,,,Frank's Services,90 Pearce Ave,,United States,New York,Tonawanda,14150,(866) 383-5257,,,,,,Frank's Services,,,90 Pearce Ave,,United States,USA,,,New York,NY,Tonawanda,,,,14150,,,(866) 383-5257,,Plumbers,,,,10/21/2013,active,bronze,Plumbers,,,,,
