Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Fax,Account Contact Email,Account Contact URL,Legacy ID,Listing ID,Listing Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbreviation,Listing Region,Listing Region Abbreviation,Listing State,Listing State Abbreviation,Listing City,Listing City Abbreviation,Listing Neighborhood,Listing Neighborhood Abbreviation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Fax,Listing Short Description,Listing Long Description,Listing Keywords,Updated Date,Listing Renewal Date,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template
,,,,Firestone Complete Auto Care,3931 Maple Rd,,United States,New York,Buffalo,14226,,,,,,,Firestone Complete Auto Care,,,3931 Maple Rd,,United States,USA,,,New York,NY,Buffalo,,,,14226,,,,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,AAMCO Transmissions,3454 Sheridan Dr,,United States,New York,Buffalo,14226,(716) 837-6542,,,,,,AAMCO Transmissions,,,3454 Sheridan Dr,,United States,USA,,,New York,NY,Buffalo,,,,14226,,,(716) 837-6542,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Auto Elec Co,1580 Seneca St,,United States,New York,Buffalo,14210,(716) 823-8200,,,,,,Auto Elec Co,,,1580 Seneca St,,United States,USA,,,New York,NY,Buffalo,,,,14210,,,(716) 823-8200,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Don's Auto,1440 Electric Ave,,United States,New York,Buffalo,14218,(716) 825-0676,,,,,,Don's Auto,,,1440 Electric Ave,,United States,USA,,,New York,NY,Buffalo,,,,14218,,,(716) 825-0676,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Midas Auto Service Experts,1171 Niagara Falls Blvd,,United States,New York,Buffalo,14226,(716) 837-4100,,,,,,Midas Auto Service Experts,,,1171 Niagara Falls Blvd,,United States,USA,,,New York,NY,Buffalo,,,,14226,,,(716) 837-4100,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Meineke Car Care Center,3955 Harlem Rd,,United States,New York,Buffalo,14226,(716) 803-8556,,,,,,Meineke Car Care Center,,,3955 Harlem Rd,,United States,USA,,,New York,NY,Buffalo,,,,14226,,,(716) 803-8556,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Midas Auto Service Experts,315 Niagara St,,United States,New York,Buffalo,14201,(716) 852-1121,,,,,,Midas Auto Service Experts,,,315 Niagara St,,United States,USA,,,New York,NY,Buffalo,,,,14201,,,(716) 852-1121,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Daved's Auto Center,795 Bailey Ave,,United States,New York,Buffalo,14206,(716) 823-0700,,,,,,Daved's Auto Center,,,795 Bailey Ave,,United States,USA,,,New York,NY,Buffalo,,,,14206,,,(716) 823-0700,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Midas Auto Service Experts,3781 Delaware Ave,,United States,New York,Buffalo,14217,(716) 876-5244,,,,,,Midas Auto Service Experts,,,3781 Delaware Ave,,United States,USA,,,New York,NY,Buffalo,,,,14217,,,(716) 876-5244,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Thru-Way Auto Air & Accessory,30 Dyke Rd,,United States,New York,Buffalo,14224,(716) 675-9800,,,,,,Thru-Way Auto Air & Accessory,,,30 Dyke Rd,,United States,USA,,,New York,NY,Buffalo,,,,14224,,,(716) 675-9800,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Rusiniak's Service Inc,2916 Union Rd,,United States,New York,Cheektowaga,14227,(716) 683-3288,,,,,,Rusiniak's Service Inc,,,2916 Union Rd,,United States,USA,,,New York,NY,Cheektowaga,,,,14227,,,(716) 683-3288,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,AAMCO Transmissions,6490 Transit Rd,,United States,New York,Depew,14043,(716) 684-4270,,,,,,AAMCO Transmissions,,,6490 Transit Rd,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 684-4270,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,AAMCO Transmissions,1701 Union Rd,,United States,New York,West Seneca,14224,(716) 675-6022,,,,,,AAMCO Transmissions,,,1701 Union Rd,,United States,USA,,,New York,NY,West Seneca,,,,14224,,,(716) 675-6022,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Neils Five Corners Automotive,114 Main St,,United States,New York,Tonawanda,14150,(716) 692-1313,,,,,,Neils Five Corners Automotive,,,114 Main St,,United States,USA,,,New York,NY,Tonawanda,,,,14150,,,(716) 692-1313,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Midas Auto Service Experts,3029 Union Rd,,United States,New York,Orchard Park,14127,(716) 675-3488,,,,,,Midas Auto Service Experts,,,3029 Union Rd,,United States,USA,,,New York,NY,Orchard Park,,,,14127,,,(716) 675-3488,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Jiffy Lube,4885 Transit Rd,,United States,New York,Depew,14043,(716) 656-2177,,,,,,Jiffy Lube,,,4885 Transit Rd,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 656-2177,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Amherst Radiator Auto & Air,2160 Niagara Falls Blvd,,United States,New York,Tonawanda,14150,(716) 694-2000,,,,,,Amherst Radiator Auto & Air,,,2160 Niagara Falls Blvd,,United States,USA,,,New York,NY,Tonawanda,,,,14150,,,(716) 694-2000,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,Air Conditioning Service->Residential Air Conditioning Services,,,,
,,,,Midas Auto Service Experts,4955 Broadway,,United States,New York,Depew,14043,(716) 681-4612,,,,,,Midas Auto Service Experts,,,4955 Broadway,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 681-4612,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Jiffy Lube,6480 Transit Rd,,United States,New York,Depew,14043,(716) 651-9045,,,,,,Jiffy Lube,,,6480 Transit Rd,,United States,USA,,,New York,NY,Depew,,,,14043,,,(716) 651-9045,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
,,,,Tim Phillip's Garage Inc,2993 Baseline Rd,,United States,New York,Grand Island,14072,(716) 775-7305,,,,,,Tim Phillip's Garage Inc,,,2993 Baseline Rd,,United States,USA,,,New York,NY,Grand Island,,,,14072,,,(716) 775-7305,,Air Conditioning Service,,,,10/5/2013,active,bronze,Air Conditioning Service->Automobile Air Conditioning Services,,,,,
